Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,83.7,1004.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1587.8,19053.60,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Quantity (2), Instance type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,1450.98,17411.76,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (c5a.4xlarge)"
My Estimate,US East (N. Virginia),App servers,Amazon EC2,0,1895.75,22749.00,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (r6g.4xlarge)"
My Estimate,US East (N. Virginia),,S3 Standard,0,2251.2,27014.40,USD,S3 Standard storage (100000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,152.5,1830.00,USD,"Data transfer out to internet (500 GB per month), Data transfer out to origin (500 GB per month), Number of requests (HTTPS) (100000000 per month)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,103,1236.00,USD,Hosted Zones (2)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
